X,Y,OBJECTID,FACILITYID,INTID,LATITUDE,LONGITUDE,COUNTDATE,ADT,STREETONE,DIRECTION,STREETTWO,TRAVELDIRE,NEARINTERS,CITY,ADTONE,ADTTWO,CREATIONDATE,LASTUPDATE,NOTES
6150586.45187667,1942542.83176714,5654,3258,3258,37.32124387,-121.91373601,2013/08/08 00:00:00+00,20165,Meridian Av,S of,Douglas St, ,Meridian Av & Douglas St,San Jose,,,,2021/03/18 17:08:34+00, 
6173892.21956949,1945498.0532189,5655,3259,3259,37.33030209,-121.83374981,2013/08/21 00:00:00+00,20458,King Rd,S of,Havana Dr, ,King Rd & Havana Dr,San Jose,,,,2021/03/18 17:08:34+00, 
6157502.226759,1947934.46107572,5656,3260,3260,37.3363264,-121.89023801,2013/08/08 00:00:00+00,18919,Santa Clara St,E of,First St, ,Santa Clara St & First St,San Jose,,,,2021/03/18 17:08:34+00, 
6163067.25335857,1951134.58197206,5657,3261,3261,37.34533998,-121.8712597,2013/08/15 00:00:00+00,17190,Santa Clara St,E of,20th St, ,Santa Clara St & 20th St,San Jose,,,,2021/03/18 17:08:34+00, 
6186730.30642608,1910063.87539972,5658,3262,3262,37.23348503,-121.78792525,2014/02/13 00:00:00+00,16066,Santa Teresa Bl,N of,San Ignacio Av, ,Santa Teresa Bl & San Ignacio Av,San Jose,,,,2021/03/18 17:08:34+00, 
6158933.71963091,1946642.93019423,5659,3263,3263,37.33284948,-121.88524842,2013/08/14 00:00:00+00,8758,Third St,N of,San Carlos St, ,Third St & San Carlos St,San Jose,,,,2021/03/18 17:08:34+00, 
6141420.73694041,1943456.64490014,5660,3264,3264,37.32336395,-121.9453143,2013/08/08 00:00:00+00,51883,Stevens Creek Bl,E of,Baywood Av, ,Stevens Creek Bl & Baywood Av,San Jose,,,,2021/03/18 17:08:34+00, 
6175067.04661617,1952205.28849207,5661,3265,3265,37.34875618,-121.83003383,2014/02/13 00:00:00+00,26474,Story Rd,E of,Leeward Dr, ,Story Rd & Leeward Dr,San Jose,,,,2021/03/18 17:08:34+00, 
6173287.97176224,1940233.78618839,5662,3266,3266,37.31581052,-121.83556592,2013/08/14 00:00:00+00,58274,Tully Rd,E of,McLaughlin Av, ,Tully Rd & McLaughlin Av,San Jose,,,,2021/03/18 17:08:34+00, 
6145122.633408,1920583.09320639,5663,3267,3267,37.26071121,-121.93136884,2013/08/14 00:00:00+00,21138,Union Av,S of,Woodard Rd, ,Union Av & Woodard Rd,San Jose,,,,2021/03/18 17:08:34+00, 
