OBJECTID,FACILITYID,INTID,CENSUSTRACT,FIPSCODE,POPULATION2020,HOUSINGUNITS2020,LASTUPDATE,NOTES,Shape_Length,Shape_Area
226,226,226,5033.23,06085503323,4712,1222,2022/03/16 00:00:00+00,,14487.1811527733,12182137.7119941
227,227,227,5033.24,06085503324,3577,904,2022/03/16 00:00:00+00,,12851.0781093968,8911346.80811496
228,228,228,5033.25,06085503325,4449,1145,2022/03/16 00:00:00+00,,16016.1936009116,12252649.7795846
229,229,229,5033.26,06085503326,6625,1719,2022/03/16 00:00:00+00,,45220.8886344267,45851727.1017015
230,230,230,5033.27,06085503327,4856,1466,2022/03/16 00:00:00+00,,25750.6360587758,15501748.0910419
231,231,231,5033.29,06085503329,3953,1109,2022/03/16 00:00:00+00,,15920.3103823547,12529000.3769628
232,232,232,5033.30,06085503330,7319,2006,2022/03/16 00:00:00+00,,71208.294169069,189403838.639613
233,233,233,5042.02,06085504202,4896,1548,2022/03/16 00:00:00+00,,88276.6655001189,166868159.134149
234,234,234,5043.08,06085504308,4613,1505,2022/03/16 00:00:00+00,,71056.2390845568,188353684.842965
235,235,235,5043.14,06085504314,4745,1322,2022/03/16 00:00:00+00,,17398.3023122497,15880899.8268136
236,236,236,5043.15,06085504315,6696,1975,2022/03/16 00:00:00+00,,17756.582961924,17077757.9984971
237,237,237,5043.20,06085504320,2866,845,2022/03/16 00:00:00+00,,12367.130546071,9943494.96986623
238,238,238,5044.11,06085504411,5350,1537,2022/03/16 00:00:00+00,,16035.9183712824,14686989.5388723
239,239,239,5044.24,06085504424,4869,1506,2022/03/16 00:00:00+00,,17850.3323725284,6342186.00381898
240,240,240,5135,06085513500,960,436,2022/03/16 00:00:00+00,,329111.739082679,1430251876.00328
